gadm_id,department_name,gadm36_name,label_short,label_full,label_source,label_confidence,transformed_id,gadm40_name,gadm40_type
URY.1.1_1,Artigas,n.a2,Artigas unit 2,Unlabelled GADM 3.6 unit 2 in Artigas,department_unit_fallback,low,URY.1.1_2,,
URY.1.2_1,Artigas,n.a3,Baltasar Brum,"Baltasar Brum (Artigas, Municipiality)",gadm40_exact_id,high,URY.1.2_2,Baltasar Brum,Municipiality
URY.1.3_1,Artigas,n.a4,Bella Unión,"Bella Unión (Artigas, Municipiality)",gadm40_exact_id,high,URY.1.3_2,Bella Unión,Municipiality
URY.1.4_1,Artigas,n.a5,Tomás Gomensoro,"Tomás Gomensoro (Artigas, Municipiality)",gadm40_exact_id,high,URY.1.4_2,Tomás Gomensoro,Municipiality
URY.1.5_1,Artigas,n.a6,Artigas unit 6,Unlabelled GADM 3.6 unit 6 in Artigas,department_unit_fallback,low,URY.1.5_2,,
URY.1.6_1,Artigas,n.a7,Artigas unit 7,Unlabelled GADM 3.6 unit 7 in Artigas,department_unit_fallback,low,URY.1.6_2,,
URY.1.7_1,Artigas,n.a8,Artigas unit 8,Unlabelled GADM 3.6 unit 8 in Artigas,department_unit_fallback,low,URY.1.7_2,,
URY.1.8_1,Artigas,n.a9,Artigas unit 9,Unlabelled GADM 3.6 unit 9 in Artigas,department_unit_fallback,low,URY.1.8_2,,
URY.2.1_1,Canelones,n.a162,18 de Mayo,"18 de Mayo (Canelones, Municipiality)",gadm40_exact_id,high,URY.2.1_2,18 de Mayo,Municipiality
URY.2.2_1,Canelones,n.a165,Aguas Corrientes,"Aguas Corrientes (Canelones, Municipiality)",gadm40_exact_id,high,URY.2.2_2,Aguas Corrientes,Municipiality
URY.2.3_1,Canelones,n.a171,Atlántida,"Atlántida (Canelones, Municipiality)",gadm40_exact_id,high,URY.2.3_2,Atlántida,Municipiality
URY.2.4_1,Canelones,n.a172,Barros Blancos,"Barros Blancos (Canelones, Municipiality)",gadm40_exact_id,high,URY.2.4_2,Barros Blancos,Municipiality
URY.2.5_1,Canelones,n.a175,Canelones,"Canelones (Canelones, Municipiality)",gadm40_exact_id,high,URY.2.5_2,Canelones,Municipiality
