ADM2_PCODE,ADM_PCODE,access_pop_education_5km,access_pop_education_10km,access_pop_education_20km,access_pop_hospitals_30min,access_pop_hospitals_1h,access_pop_hospitals_2h,access_pop_primary_healthcare_30min,access_pop_primary_healthcare_1h
UY01002,UY01002,156,156,156,0,0,180,0,0
UY01003,UY01003,15697,16221,16313,16184,16345,16388,16187,16353
UY01004,UY01004,1,1,1,0,9,24,0,11
UY01005,UY01005,2638,2638,2667,100,2692,2747,2625,2720
UY01006,UY01006,40898,41055,41325,40633,41041,41166,0,41125
UY01007,UY01007,149,149,149,0,110,164,39,110
UY01008,UY01008,2636,2654,2662,299,564,2770,442,585
UY01009,UY01009,0,0,0,0,0,40,0,0
UY02162,UY02162,8873,9696,10256,9783,10537,10612,9764,10544
UY02165,UY02165,8181,8218,8288,8271,8529,8610,8215,8538
UY02171,UY02171,2718,2838,3148,2989,3298,3298,3058,3298
UY02172,UY02172,3444,3913,4223,4046,4259,4259,4185,4259
UY02175,UY02175,3686,3967,4539,4116,4539,4539,4182,4539
UY02181,UY02181,6536,7568,8215,7591,8215,8215,7781,8215
UY02182,UY02182,28851,29551,29845,29831,29845,29845,29845,29845
UY02183,UY02183,5925,6213,7079,6530,7079,7079,7079,7079
UY02324,UY02324,21515,22330,22453,22284,22763,22763,22236,22763
UY02338,UY02338,7360,8899,9007,8439,9332,9332,8831,9332
UY02340,UY02340,15603,17515,17690,17251,17690,17690,17690,17690
UY02342,UY02342,25293,25800,26355,25528,26441,26487,26270,26488
UY02343,UY02343,39141,39723,39831,39709,39831,39831,39799,39831
UY02344,UY02344,139447,139844,139844,139838,139849,139849,139844,139849
UY02346,UY02346,134,178,178,178,178,178,178,178
UY02347,UY02347,18437,18665,18665,18665,18665,18665,18665,18665
UY02348,UY02348,152121,153300,153745,153384,153777,153838,153801,153831
UY02349,UY02349,128955,129452,129541,129541,129541,129541,129541,129541
UY03034,UY03034,3296,3296,3297,0,3304,3352,0,0
UY03046,UY03046,0,0,18,0,0,18,0,0
