ADM2_PCODE,ADM_PCODE,female_pop,children_u5,female_u5,elderly,pop_u15,female_u15
UY01002,UY01002,125,9,5,44,22,12
UY01003,UY01003,9710,695,388,2987,1784,996
UY01004,UY01004,17,2,1,6,4,2
UY01005,UY01005,1314,181,95,342,544,285
UY01006,UY01006,24180,1796,985,7848,4492,2458
UY01007,UY01007,120,9,5,41,23,13
UY01008,UY01008,1534,144,77,480,374,200
UY01009,UY01009,23,2,1,8,5,3
UY02162,UY02162,5619,489,268,2139,1356,741
UY02165,UY02165,4588,411,223,1525,1209,655
UY02171,UY02171,1842,133,75,658,378,213
UY02172,UY02172,2137,229,124,741,667,361
UY02175,UY02175,2112,327,170,527,922,481
UY02181,UY02181,4171,434,235,1453,1246,675
UY02182,UY02182,15332,1464,795,5433,4419,2401
UY02183,UY02183,3483,418,223,1073,1228,653
UY02324,UY02324,10508,1602,824,2590,4780,2459
UY02338,UY02338,4827,466,253,1683,1363,740
UY02340,UY02340,10107,786,431,3127,2092,1147
UY02342,UY02342,12229,1968,983,2994,5572,2781
UY02343,UY02343,18649,2541,1312,4798,8265,4267
UY02344,UY02344,65638,9597,4979,16409,28468,14758
UY02346,UY02346,88,6,2,46,25,10
UY02347,UY02347,10456,824,450,3508,2218,1209
UY02348,UY02348,71983,10090,5322,18505,31698,16307
UY02349,UY02349,62031,7573,4029,18204,24972,12732
UY03034,UY03034,1704,311,156,350,923,463
UY03046,UY03046,22,4,2,4,15,7
UY03047,UY03047,1460,233,114,278,855,418
UY03052,UY03052,25032,3776,1645,6742,12249,5517
UY03054,UY03054,34,5,3,9,14,7
UY03055,UY03055,417,64,33,99,194,100
UY03057,UY03057,203,31,16,45,107,54
UY03061,UY03061,44,5,3,13,17,8
UY03062,UY03062,55,7,3,12,30,13
UY03065,UY03065,104,12,6,34,38,20
UY03066,UY03066,6692,786,350,1490,3305,1294
UY03067,UY03067,0,0,0,0,0,0
UY04139,UY04139,117,15,7,36,49,24
UY04145,UY04145,2341,316,162,590,981,505
UY04146,UY04146,293,37,19,104,116,59
UY04152,UY04152,946,117,58,373,360,179
UY04197,UY04197,2067,251,129,640,777,401
UY04310,UY04310,1500,168,85,659,548,277
UY04314,UY04314,6332,1017,515,1389,3066,1552
UY04315,UY04315,4816,643,333,1257,2023,1049
UY04356,UY04356,9978,1079,550,3889,3630,1858
UY04382,UY04382,5648,618,314,2165,1911,969
UY04461,UY04461,985,107,54,381,350,176
UY04528,UY04528,6870,733,371,3124,2347,1187
UY04531,UY04531,6797,948,498,1846,3045,1599
UY04540,UY04540,17679,2730,1388,4491,8105,4121
UY05114,UY05114,15889,1440,635,7055,5415,2351
UY05063,UY05063,334,41,20,100,164,80
UY05071,UY05071,1499,210,103,450,760,371
UY05072,UY05072,345,49,24,103,166,83
UY05079,UY05079,2594,346,180,744,1123,582
UY05080,UY05080,804,104,51,252,381,185
UY05081,UY05081,4464,596,306,1306,1951,997
UY05085,UY05085,92,13,6,31,43,21
UY05089,UY05089,78,10,5,22,35,17
UY05092,UY05092,1003,137,67,250,479,236
UY05093,UY05093,36,5,2,12,16,8
UY05095,UY05095,555,69,35,184,223,112
UY05097,UY05097,75,11,5,18,40,18
UY06100,UY06100,224,30,13,65,95,43
UY06102,UY06102,11335,1410,717,4087,4099,2081
UY06106,UY06106,208,27,14,70,82,42
UY06118,UY06118,8,1,0,3,2,1
UY06124,UY06124,279,36,19,95,111,58
UY06130,UY06130,254,32,16,82,105,52
UY07101,UY07101,38,5,3,10,19,9
UY07113,UY07113,3420,557,257,951,1647,764
UY07116,UY07116,138,19,9,40,62,30
UY07117,UY07117,320,43,19,105,154,70
UY07119,UY07119,36,5,2,11,15,8
UY07131,UY07131,549,90,41,195,216,91
UY07132,UY07132,208,32,15,60,112,53
UY07135,UY07135,3044,455,221,932,1632,788
UY07140,UY07140,1913,224,116,646,698,362
UY07141,UY07141,1069,146,70,346,522,250
UY07147,UY07147,432,49,25,150,174,87
UY07149,UY07149,18593,2386,1192,7030,7605,3800
UY07169,UY07169,654,108,54,168,328,162
UY08109,UY08109,160,21,9,31,74,32
UY08110,UY08110,1285,217,98,375,597,270
UY08115,UY08115,2450,340,167,726,1130,553
UY08121,UY08121,240,33,14,69,124,53
UY08133,UY08133,72,11,5,21,35,16
UY08137,UY08137,659,150,65,241,340,143
UY08138,UY08138,54,8,4,17,26,13
UY08144,UY08144,151,20,10,40,68,32
UY08156,UY08156,45,6,3,13,21,10
UY08157,UY08157,113,14,7,37,46,24
UY08161,UY08161,19654,2480,1195,6816,8082,3899
UY08166,UY08166,586,76,40,177,238,124
UY08179,UY08179,2692,398,205,782,1263,650
UY09307,UY09307,1118,186,92,311,595,293
UY09321,UY09321,22,3,1,9,8,4
UY09332,UY09332,57,9,4,16,28,13
UY09337,UY09337,11228,1689,799,3973,5183,2451
UY09339,UY09339,13433,1825,896,4653,6232,3071
UY09341,UY09341,8585,1362,628,2813,4101,1887
UY09345,UY09345,1622,198,85,698,815,362
UY09351,UY09351,63308,6921,3478,25403,24196,12153
UY09523,UY09523,616,77,32,129,283,117
UY10354,UY10354,620451,74928,36022,226431,241785,116229
UY11026,UY11026,751,139,66,152,432,206
UY11031,UY11031,76,12,6,14,49,23
UY11035,UY11035,30,5,2,9,14,6
UY11037,UY11037,73,12,5,16,44,20
UY11039,UY11039,1840,288,138,446,1072,513
UY11040,UY11040,13,3,1,4,6,2
UY11041,UY11041,381,69,33,74,239,113
UY11045,UY11045,94,14,7,26,42,22
